意图,问题,回应
搜索地图,为什么要使用地图？,该地图是查看与感兴趣区域相关的列表的快速方法。您可以放大或在地图上四处移动以查找最初未显示的其他列表。
搜索地图,为什么要使用地图？,该地图是查看与感兴趣区域相关的列表的快速方法。您可以放大或在地图上四处移动以查找最初未显示的其他列表。
搜索筛选类型,有哪些搜索筛选可用？,在搜索结果页面的顶部，您会找到流行的过滤器，例如： 地点类型：从共享房间到整个地点，了解有关住宿地点类型的更多信息。独特的列表：从灯塔、小屋或船只等选项中进行选择。价格：使用滑动比例在您的价格范围内缩小搜索范围。取消灵活性：认为您的计划可能会改变？查找取消政策提供灵活性的住宿。立刻预订：查找您可以预订的地方，而无需等待房东批准。房间和床：卧室、浴室、床——选择适合您的团队的号码。物业类型：这是您的住宿，您的氛围如何？搜索别墅、旅馆、公寓等。独特的住宿：继续前进，实现梦想！搜索树屋、蒙古包，甚至城堡。便利设施：有些人需要一个工作厨房，有些人需要一台电视，而其他人则需要免费停车。选择你需要舒适的东西。设施：游泳池？健身房？你有选择。可访问性：淋浴时需要无台阶入口或扶手？选择舒适和安全的功能。主持人语言：选择讲您知道的语言的主持人。房屋规则：你想要一个可以养宠物的地方吗？您是否打算在逗留期间接待任何当地游客？搜索具有适合您的规则的地点。
搜索筛选类型,在哪里可以找到搜索筛选？,在搜索结果页面的顶部，您会找到流行的过滤器，例如： 地点类型：从共享房间到整个地点，了解有关住宿地点类型的更多信息。独特的列表：从灯塔、小屋或船只等选项中进行选择。价格：使用滑动比例在您的价格范围内缩小搜索范围。取消灵活性：认为您的计划可能会改变？查找取消政策提供灵活性的住宿。立刻预订：查找您可以预订的地方，而无需等待房东批准。房间和床：卧室、浴室、床——选择适合您的团队的号码。物业类型：这是您的住宿，您的氛围如何？搜索别墅、旅馆、公寓等。独特的住宿：继续前进，实现梦想！搜索树屋、蒙古包，甚至城堡。便利设施：有些人需要一个工作厨房，有些人需要一台电视，而其他人则需要免费停车。选择你需要舒适的东西。设施：游泳池？健身房？你有选择。可访问性：淋浴时需要无台阶入口或扶手？选择舒适和安全的功能。主持人语言：选择讲您知道的语言的主持人。房屋规则：你想要一个可以养宠物的地方吗？您是否打算在逗留期间接待任何当地游客？搜索具有适合您的规则的地点。
搜索筛选类型,有哪些类型的搜索筛选可用？,在搜索结果页面的顶部，您会找到流行的过滤器，例如： 地点类型：从共享房间到整个地点，了解有关住宿地点类型的更多信息。独特的列表：从灯塔、小屋或船只等选项中进行选择。价格：使用滑动比例在您的价格范围内缩小搜索范围。取消灵活性：认为您的计划可能会改变？查找取消政策提供灵活性的住宿。立刻预订：查找您可以预订的地方，而无需等待房东批准。房间和床：卧室、浴室、床——选择适合您的团队的号码。物业类型：这是您的住宿，您的氛围如何？搜索别墅、旅馆、公寓等。独特的住宿：继续前进，实现梦想！搜索树屋、蒙古包，甚至城堡。便利设施：有些人需要一个工作厨房，有些人需要一台电视，而其他人则需要免费停车。选择你需要舒适的东西。设施：游泳池？健身房？你有选择。可访问性：淋浴时需要无台阶入口或扶手？选择舒适和安全的功能。主持人语言：选择讲您知道的语言的主持人。房屋规则：你想要一个可以养宠物的地方吗？您是否打算在逗留期间接待任何当地游客？搜索具有适合您的规则的地点。
搜索筛选类型,在哪里可以找到搜索筛选？,在搜索结果页面的顶部，您会找到流行的过滤器，例如： 地点类型：从共享房间到整个地点，了解有关住宿地点类型的更多信息。独特的列表：从灯塔、小屋或船只等选项中进行选择。价格：使用滑动比例在您的价格范围内缩小搜索范围。取消灵活性：认为您的计划可能会改变？查找取消政策提供灵活性的住宿。立刻预订：查找您可以预订的地方，而无需等待房东批准。房间和床：卧室、浴室、床——选择适合您的团队的号码。物业类型：这是您的住宿，您的氛围如何？搜索别墅、旅馆、公寓等。独特的住宿：继续前进，实现梦想！搜索树屋、蒙古包，甚至城堡。便利设施：有些人需要一个工作厨房，有些人需要一台电视，而其他人则需要免费停车。选择你需要舒适的东西。设施：游泳池？健身房？你有选择。可访问性：淋浴时需要无台阶入口或扶手？选择舒适和安全的功能。主持人语言：选择讲您知道的语言的主持人。房屋规则：你想要一个可以养宠物的地方吗？您是否打算在逗留期间接待任何当地游客？搜索具有适合您的规则的地点。
搜索筛选类型,有哪些搜索筛选类型？,在搜索结果页面的顶部，您会找到流行的过滤器，例如： 地点类型：从共享房间到整个地点，了解有关住宿地点类型的更多信息。独特的列表：从灯塔、小屋或船只等选项中进行选择。价格：使用滑动比例在您的价格范围内缩小搜索范围。取消灵活性：认为您的计划可能会改变？查找取消政策提供灵活性的住宿。立刻预订：查找您可以预订的地方，而无需等待房东批准。房间和床：卧室、浴室、床——选择适合您的团队的号码。物业类型：这是您的住宿，您的氛围如何？搜索别墅、旅馆、公寓等。独特的住宿：继续前进，实现梦想！搜索树屋、蒙古包，甚至城堡。便利设施：有些人需要一个工作厨房，有些人需要一台电视，而其他人则需要免费停车。选择你需要舒适的东西。设施：游泳池？健身房？你有选择。可访问性：淋浴时需要无台阶入口或扶手？选择舒适和安全的功能。主持人语言：选择讲您知道的语言的主持人。房屋规则：你想要一个可以养宠物的地方吗？您是否打算在逗留期间接待任何当地游客？搜索具有适合您的规则的地点。
搜索筛选类型,存在哪些类型的搜索筛选？,在搜索结果页面的顶部，您会找到流行的过滤器，例如： 地点类型：从共享房间到整个地点，了解有关住宿地点类型的更多信息。独特的列表：从灯塔、小屋或船只等选项中进行选择。价格：使用滑动比例在您的价格范围内缩小搜索范围。取消灵活性：认为您的计划可能会改变？查找取消政策提供灵活性的住宿。立刻预订：查找您可以预订的地方，而无需等待房东批准。房间和床：卧室、浴室、床——选择适合您的团队的号码。物业类型：这是您的住宿，您的氛围如何？搜索别墅、旅馆、公寓等。独特的住宿：继续前进，实现梦想！搜索树屋、蒙古包，甚至城堡。便利设施：有些人需要一个工作厨房，有些人需要一台电视，而其他人则需要免费停车。选择你需要舒适的东西。设施：游泳池？健身房？你有选择。可访问性：淋浴时需要无台阶入口或扶手？选择舒适和安全的功能。主持人语言：选择讲您知道的语言的主持人。房屋规则：你想要一个可以养宠物的地方吗？您是否打算在逗留期间接待任何当地游客？搜索具有适合您的规则的地点。
搜索筛选,搜索筛选有什么用？,有时您只想浏览。其他时候，你确切地知道你想要什么。当您寻找住宿地点时，搜索过滤器是缩小选择范围的好方法。
搜索筛选,搜索筛选的目的？,有时您只想浏览。其他时候，你确切地知道你想要什么。当您寻找住宿地点时，搜索过滤器是缩小选择范围的好方法。
搜索筛选,使用搜索筛选？,有时您只想浏览。其他时候，你确切地知道你想要什么。当您寻找住宿地点时，搜索过滤器是缩小选择范围的好方法。
搜索筛选,为什么要使用搜索筛选？,有时您只想浏览。其他时候，你确切地知道你想要什么。当您寻找住宿地点时，搜索过滤器是缩小选择范围的好方法。
搜索筛选,使用搜索筛选有什么好处？,有时您只想浏览。其他时候，你确切地知道你想要什么。当您寻找住宿地点时，搜索过滤器是缩小选择范围的好方法。
搜索筛选,使用搜索筛选有什么好处？,有时您只想浏览。其他时候，你确切地知道你想要什么。当您寻找住宿地点时，搜索过滤器是缩小选择范围的好方法。
通用搜索类别,如何按类别搜索？,行李打包不知道去哪里？如果客人需要灵感，他们可以浏览 爱彼迎 类别（基于住宿的独特风格、位置或与活动的接近程度的系列），以帮助他们找到适合他们的住宿（和风格）。客人可以发现更灵活的旅行方式——浏览数以百万计的他们从来不知道存在的房屋。如果客人搜索特定目的地，他们的搜索结果将包括所有列表。此外，还将显示类别，从而更容易在搜索区域内（或仅在其外）发现令人难以置信的房屋。
通用搜索类别,为什么要按类别搜索？,行李打包不知道去哪里？如果客人需要灵感，他们可以浏览 爱彼迎 类别（基于住宿的独特风格、位置或与活动的接近程度的系列），以帮助他们找到适合他们的住宿（和风格）。客人可以发现更灵活的旅行方式——浏览数以百万计的他们从来不知道存在的房屋。如果客人搜索特定目的地，他们的搜索结果将包括所有列表。此外，还将显示类别，从而更容易在搜索区域内（或仅在其外）发现令人难以置信的房屋。
通用搜索类别,按类别搜索的目的？,行李打包不知道去哪里？如果客人需要灵感，他们可以浏览 爱彼迎 类别（基于住宿的独特风格、位置或与活动的接近程度的系列），以帮助他们找到适合他们的住宿（和风格）。客人可以发现更灵活的旅行方式——浏览数以百万计的他们从来不知道存在的房屋。如果客人搜索特定目的地，他们的搜索结果将包括所有列表。此外，还将显示类别，从而更容易在搜索区域内（或仅在其外）发现令人难以置信的房屋。
通用搜索类别,搜索时的类别是什么？,行李打包不知道去哪里？如果客人需要灵感，他们可以浏览 爱彼迎 类别（基于住宿的独特风格、位置或与活动的接近程度的系列），以帮助他们找到适合他们的住宿（和风格）。客人可以发现更灵活的旅行方式——浏览数以百万计的他们从来不知道存在的房屋。如果客人搜索特定目的地，他们的搜索结果将包括所有列表。此外，还将显示类别，从而更容易在搜索区域内（或仅在其外）发现令人难以置信的房屋。
通用搜索类别,我想了解有关按类别搜索的更多信息。,行李打包不知道去哪里？如果客人需要灵感，他们可以浏览 爱彼迎 类别（基于住宿的独特风格、位置或与活动的接近程度的系列），以帮助他们找到适合他们的住宿（和风格）。客人可以发现更灵活的旅行方式——浏览数以百万计的他们从来不知道存在的房屋。如果客人搜索特定目的地，他们的搜索结果将包括所有列表。此外，还将显示类别，从而更容易在搜索区域内（或仅在其外）发现令人难以置信的房屋。
通用搜索类别,为什么要按类别搜索？,行李打包不知道去哪里？如果客人需要灵感，他们可以浏览 爱彼迎 类别（基于住宿的独特风格、位置或与活动的接近程度的系列），以帮助他们找到适合他们的住宿（和风格）。客人可以发现更灵活的旅行方式——浏览数以百万计的他们从来不知道存在的房屋。如果客人搜索特定目的地，他们的搜索结果将包括所有列表。此外，还将显示类别，从而更容易在搜索区域内（或仅在其外）发现令人难以置信的房屋。
搜索取消方针,如何寻找更灵活的取消方针？,即使是最好的计划也会改变。 爱彼迎 房东明白这一点，这就是为什么他们中的许多人会提供足够的时间来取消您的预订，而如果出现问题，可以免费取消预订。现在，您可以使用我们的搜索过滤器找到具有更灵活取消政策的列表。如果您最终需要取消，即使它接近您的出发日期，您也可以搜索提供全额退款的列表。要使用此过滤器，只需输入您的目的地和旅行日期。在房源页面上，您可以选择取消过滤器以仅显示提供以下服务的房源：如果您在抵达前至少 1 天取消，则全额退款每晚房费，或者，如果您至少在抵达前 5 天取消，全额退款每晚房费到到达 您可以在预订前查看房东在其房源上设置的具体取消政策，该政策会告诉您需要在什么日期之前取消以避免任何处罚。
搜索取消方针,我可以搜索更灵活的取消方针吗？,即使是最好的计划也会改变。 爱彼迎 房东明白这一点，这就是为什么他们中的许多人会提供足够的时间来取消您的预订，而如果出现问题，可以免费取消预订。现在，您可以使用我们的搜索过滤器找到具有更灵活取消政策的列表。如果您最终需要取消，即使它接近您的出发日期，您也可以搜索提供全额退款的列表。要使用此过滤器，只需输入您的目的地和旅行日期。在房源页面上，您可以选择取消过滤器以仅显示提供以下服务的房源：如果您在抵达前至少 1 天取消，则全额退款每晚房费，或者，如果您至少在抵达前 5 天取消，全额退款每晚房费到到达 您可以在预订前查看房东在其房源上设置的具体取消政策，该政策会告诉您需要在什么日期之前取消以避免任何处罚。
搜索取消方针,什么是灵活的取消方针？,即使是最好的计划也会改变。 爱彼迎 房东明白这一点，这就是为什么他们中的许多人会提供足够的时间来取消您的预订，而如果出现问题，可以免费取消预订。现在，您可以使用我们的搜索过滤器找到具有更灵活取消政策的列表。如果您最终需要取消，即使它接近您的出发日期，您也可以搜索提供全额退款的列表。要使用此过滤器，只需输入您的目的地和旅行日期。在房源页面上，您可以选择取消过滤器以仅显示提供以下服务的房源：如果您在抵达前至少 1 天取消，则全额退款每晚房费，或者，如果您至少在抵达前 5 天取消，全额退款每晚房费到到达 您可以在预订前查看房东在其房源上设置的具体取消政策，该政策会告诉您需要在什么日期之前取消以避免任何处罚。
搜索取消方针,寻找更灵活的取消方针,即使是最好的计划也会改变。 爱彼迎 房东明白这一点，这就是为什么他们中的许多人会提供足够的时间来取消您的预订，而如果出现问题，可以免费取消预订。现在，您可以使用我们的搜索过滤器找到具有更灵活取消政策的列表。如果您最终需要取消，即使它接近您的出发日期，您也可以搜索提供全额退款的列表。要使用此过滤器，只需输入您的目的地和旅行日期。在房源页面上，您可以选择取消过滤器以仅显示提供以下服务的房源：如果您在抵达前至少 1 天取消，则全额退款每晚房费，或者，如果您至少在抵达前 5 天取消，全额退款每晚房费到到达 您可以在预订前查看房东在其房源上设置的具体取消政策，该政策会告诉您需要在什么日期之前取消以避免任何处罚。
搜索取消方针,在哪里可以找到灵活的取消方针？,即使是最好的计划也会改变。 爱彼迎 房东明白这一点，这就是为什么他们中的许多人会提供足够的时间来取消您的预订，而如果出现问题，可以免费取消预订。现在，您可以使用我们的搜索过滤器找到具有更灵活取消政策的列表。如果您最终需要取消，即使它接近您的出发日期，您也可以搜索提供全额退款的列表。要使用此过滤器，只需输入您的目的地和旅行日期。在房源页面上，您可以选择取消过滤器以仅显示提供以下服务的房源：如果您在抵达前至少 1 天取消，则全额退款每晚房费，或者，如果您至少在抵达前 5 天取消，全额退款每晚房费到到达 您可以在预订前查看房东在其房源上设置的具体取消政策，该政策会告诉您需要在什么日期之前取消以避免任何处罚。
搜索取消方针,灵活的取消方针,即使是最好的计划也会改变。 爱彼迎 房东明白这一点，这就是为什么他们中的许多人会提供足够的时间来取消您的预订，而如果出现问题，可以免费取消预订。现在，您可以使用我们的搜索过滤器找到具有更灵活取消政策的列表。如果您最终需要取消，即使它接近您的出发日期，您也可以搜索提供全额退款的列表。要使用此过滤器，只需输入您的目的地和旅行日期。在房源页面上，您可以选择取消过滤器以仅显示提供以下服务的房源：如果您在抵达前至少 1 天取消，则全额退款每晚房费，或者，如果您至少在抵达前 5 天取消，全额退款每晚房费到到达 您可以在预订前查看房东在其房源上设置的具体取消政策，该政策会告诉您需要在什么日期之前取消以避免任何处罚。
搜索类别,我可以按类别搜索吗？,如果客人搜索特定目的地，他们的搜索结果将包括所有列表。此外，还将显示类别，从而更容易在搜索区域内（或仅在其外）发现令人难以置信的房屋。如果他们不搜索特定目的地，则可能会根据季节、位置和任何以前的客人搜索显示类别选择。
搜索类别,我在哪里可以搜索网站中的类别？,如果客人搜索特定目的地，他们的搜索结果将包括所有列表。此外，还将显示类别，从而更容易在搜索区域内（或仅在其外）发现令人难以置信的房屋。如果他们不搜索特定目的地，则可能会根据季节、位置和任何以前的客人搜索显示类别选择。
搜索类别,我想按类别搜索，从哪里开始？,如果客人搜索特定目的地，他们的搜索结果将包括所有列表。此外，还将显示类别，从而更容易在搜索区域内（或仅在其外）发现令人难以置信的房屋。如果他们不搜索特定目的地，则可能会根据季节、位置和任何以前的客人搜索显示类别选择。
搜索类别,在哪里可以找到网站中的搜索类别？,如果客人搜索特定目的地，他们的搜索结果将包括所有列表。此外，还将显示类别，从而更容易在搜索区域内（或仅在其外）发现令人难以置信的房屋。如果他们不搜索特定目的地，则可能会根据季节、位置和任何以前的客人搜索显示类别选择。
搜索类别,为什么要按类别搜索？,如果客人搜索特定目的地，他们的搜索结果将包括所有列表。此外，还将显示类别，从而更容易在搜索区域内（或仅在其外）发现令人难以置信的房屋。如果他们不搜索特定目的地，则可能会根据季节、位置和任何以前的客人搜索显示类别选择。
搜索类别,分类搜索的优势？,如果客人搜索特定目的地，他们的搜索结果将包括所有列表。此外，还将显示类别，从而更容易在搜索区域内（或仅在其外）发现令人难以置信的房屋。如果他们不搜索特定目的地，则可能会根据季节、位置和任何以前的客人搜索显示类别选择。
搜索分住宿,如何搜索拆分住宿列表？,想在两个不同的房子之间分开住更长的时间吗？客人可以尝试使用“拆分住宿”功能，该功能可以在他们的日期范围内将两次连续住宿配对，让他们在旅途中探索不同的家庭、社区甚至不同的目的地。例如，如果他们正在浏览冲浪类别，Split Stays 可能会向他们展示位于圣巴巴拉和拉霍亚的一对住宅，然后在地图上显示两个住宅之间的距离，以便他们知道这两座住宅的位置（以及哪个逗留是第一的）。一旦他们选择了拆分住宿，他们就会被引导通过一个易于使用的界面来预订每次住宿——一次一个家。
搜索分住宿,搜索拆分住宿列表的方法？,想在两个不同的房子之间分开住更长的时间吗？客人可以尝试使用“拆分住宿”功能，该功能可以在他们的日期范围内将两次连续住宿配对，让他们在旅途中探索不同的家庭、社区甚至不同的目的地。例如，如果他们正在浏览冲浪类别，Split Stays 可能会向他们展示位于圣巴巴拉和拉霍亚的一对住宅，然后在地图上显示两个住宅之间的距离，以便他们知道这两座住宅的位置（以及哪个逗留是第一的）。一旦他们选择了拆分住宿，他们就会被引导通过一个易于使用的界面来预订每次住宿——一次一个家。
搜索分住宿,在哪里搜索已拆分住宿的房源？,想在两个不同的房子之间分开住更长的时间吗？客人可以尝试使用“拆分住宿”功能，该功能可以在他们的日期范围内将两次连续住宿配对，让他们在旅途中探索不同的家庭、社区甚至不同的目的地。例如，如果他们正在浏览冲浪类别，Split Stays 可能会向他们展示位于圣巴巴拉和拉霍亚的一对住宅，然后在地图上显示两个住宅之间的距离，以便他们知道这两座住宅的位置（以及哪个逗留是第一的）。一旦他们选择了拆分住宿，他们就会被引导通过一个易于使用的界面来预订每次住宿——一次一个家。
搜索分住宿,我想搜索拆分住宿列表？,想在两个不同的房子之间分开住更长的时间吗？客人可以尝试使用“拆分住宿”功能，该功能可以在他们的日期范围内将两次连续住宿配对，让他们在旅途中探索不同的家庭、社区甚至不同的目的地。例如，如果他们正在浏览冲浪类别，Split Stays 可能会向他们展示位于圣巴巴拉和拉霍亚的一对住宅，然后在地图上显示两个住宅之间的距离，以便他们知道这两座住宅的位置（以及哪个逗留是第一的）。一旦他们选择了拆分住宿，他们就会被引导通过一个易于使用的界面来预订每次住宿——一次一个家。
搜索分住宿,我可以分开住宿吗？,想在两个不同的房子之间分开住更长的时间吗？客人可以尝试使用“拆分住宿”功能，该功能可以在他们的日期范围内将两次连续住宿配对，让他们在旅途中探索不同的家庭、社区甚至不同的目的地。例如，如果他们正在浏览冲浪类别，Split Stays 可能会向他们展示位于圣巴巴拉和拉霍亚的一对住宅，然后在地图上显示两个住宅之间的距离，以便他们知道这两座住宅的位置（以及哪个逗留是第一的）。一旦他们选择了拆分住宿，他们就会被引导通过一个易于使用的界面来预订每次住宿——一次一个家。
搜索分住宿,拆分住宿,想在两个不同的房子之间分开住更长的时间吗？客人可以尝试使用“拆分住宿”功能，该功能可以在他们的日期范围内将两次连续住宿配对，让他们在旅途中探索不同的家庭、社区甚至不同的目的地。例如，如果他们正在浏览冲浪类别，Split Stays 可能会向他们展示位于圣巴巴拉和拉霍亚的一对住宅，然后在地图上显示两个住宅之间的距离，以便他们知道这两座住宅的位置（以及哪个逗留是第一的）。一旦他们选择了拆分住宿，他们就会被引导通过一个易于使用的界面来预订每次住宿——一次一个家。
搜索邻里,可以按小区搜索吗？,"您可以像搜索城市一样搜索特定的社区、地标或街道，方法是在位置字段中输入。 （例如：“Sagrada Familia, Barcelona”或“Lombard Street, San Francisco”。）您还可以在搜索结果中找到地图上标识的社区和当地景点"
搜索邻里,如何按小区搜索？,"您可以像搜索城市一样搜索特定的社区、地标或街道，方法是在位置字段中输入。 （例如：“Sagrada Familia, Barcelona”或“Lombard Street, San Francisco”。）您还可以在搜索结果中找到地图上标识的社区和当地景点"
搜索邻里,我想按街区搜索，在哪里？,"您可以像搜索城市一样搜索特定的社区、地标或街道，方法是在位置字段中输入。 （例如：“Sagrada Familia, Barcelona”或“Lombard Street, San Francisco”。）您还可以在搜索结果中找到地图上标识的社区和当地景点"
搜索邻里,按街区搜索。,"您可以像搜索城市一样搜索特定的社区、地标或街道，方法是在位置字段中输入。 （例如：“Sagrada Familia, Barcelona”或“Lombard Street, San Francisco”。）您还可以在搜索结果中找到地图上标识的社区和当地景点"
搜索邻里,去哪里找小区？,"您可以像搜索城市一样搜索特定的社区、地标或街道，方法是在位置字段中输入。 （例如：“Sagrada Familia, Barcelona”或“Lombard Street, San Francisco”。）您还可以在搜索结果中找到地图上标识的社区和当地景点"
搜索邻里,如何搜索特定位置？,"您可以像搜索城市一样搜索特定的社区、地标或街道，方法是在位置字段中输入。 （例如：“Sagrada Familia, Barcelona”或“Lombard Street, San Francisco”。）您还可以在搜索结果中找到地图上标识的社区和当地景点"
列表有空,如何知道列表是否有空,只要您在爱彼迎上搜索时输入您的目的地、旅行日期和客人人数，所有出现的房源都应该可用。您还可以考虑向主机发送消息以确认可用性以及任何其他详细信息。我们鼓励房东及时更新他们的日历，但检查一下也无妨。
列表有空,我如何知道列表是否有空,只要您在爱彼迎上搜索时输入您的目的地、旅行日期和客人人数，所有出现的房源都应该可用。您还可以考虑向主机发送消息以确认可用性以及任何其他详细信息。我们鼓励房东及时更新他们的日历，但检查一下也无妨。
列表有空,如何了解房源的可用性状态是否有空？,只要您在爱彼迎上搜索时输入您的目的地、旅行日期和客人人数，所有出现的房源都应该可用。您还可以考虑向主机发送消息以确认可用性以及任何其他详细信息。我们鼓励房东及时更新他们的日历，但检查一下也无妨。
列表有空,我如何知道某个房源是否可供我预订？,只要您在爱彼迎上搜索时输入您的目的地、旅行日期和客人人数，所有出现的房源都应该可用。您还可以考虑向主机发送消息以确认可用性以及任何其他详细信息。我们鼓励房东及时更新他们的日历，但检查一下也无妨。
列表有空,显示的每个列表都可以预订吗？,只要您在爱彼迎上搜索时输入您的目的地、旅行日期和客人人数，所有出现的房源都应该可用。您还可以考虑向主机发送消息以确认可用性以及任何其他详细信息。我们鼓励房东及时更新他们的日历，但检查一下也无妨。
列表有空,我想从列表中预订,只要您在爱彼迎上搜索时输入您的目的地、旅行日期和客人人数，所有出现的房源都应该可用。您还可以考虑向主机发送消息以确认可用性以及任何其他详细信息。我们鼓励房东及时更新他们的日历，但检查一下也无妨。
列表类型,有哪些类型的住宿可供选择？,整个地方 如果您正在寻找一个家外之家，那么整个地方都是最好的。拥有一个完整的地方，您将拥有整个空间。这通常包括卧室、浴室、厨房和单独的专用入口。房东应在描述中注明他们是否会入住该物业（例如：“房东占据房屋的一楼”），并提供有关房源的更多详细信息。私人房间 如果您喜欢一点隐私，但仍然重视本地连接，私人房间非常棒。当您预订私人房间时，您将拥有自己的私人睡眠房间，并可能与他人共享一些空间。您可能需要穿过其他主人或客人可能占据的室内空间才能到达您的房间。酒店客房 无论是私人客房还是共用客房，酒店客房都提供与传统酒店相关的服务和热情好客水平。客房可在精品或生活方式酒店、旅馆、住宿加早餐旅馆或类似物业中使用。它们通常包括充满活力的公共区域和具有独特风格的房间。共享房间 共享房间适用于您不介意与他人共享空间的情况。当您预订共享房间时，您将睡在与他人共享的空间中，并与其他人共享整个空间。共享房间在寻找新朋友和预算友好型住宿的灵活旅行者中很受欢迎。
列表类型,爱彼迎 房东提供哪些类型的房源？,整个地方 如果您正在寻找一个家外之家，那么整个地方都是最好的。拥有一个完整的地方，您将拥有整个空间。这通常包括卧室、浴室、厨房和单独的专用入口。房东应在描述中注明他们是否会入住该物业（例如：“房东占据房屋的一楼”），并提供有关房源的更多详细信息。私人房间 如果您喜欢一点隐私，但仍然重视本地连接，私人房间非常棒。当您预订私人房间时，您将拥有自己的私人睡眠房间，并可能与他人共享一些空间。您可能需要穿过其他主人或客人可能占据的室内空间才能到达您的房间。酒店客房 无论是私人客房还是共用客房，酒店客房都提供与传统酒店相关的服务和热情好客水平。客房可在精品或生活方式酒店、旅馆、住宿加早餐旅馆或类似物业中使用。它们通常包括充满活力的公共区域和具有独特风格的房间。共享房间 共享房间适用于您不介意与他人共享空间的情况。当您预订共享房间时，您将睡在与他人共享的空间中，并与其他人共享整个空间。共享房间在寻找新朋友和预算友好型住宿的灵活旅行者中很受欢迎。
列表类型,我可以入住哪些类型的地方？,整个地方 如果您正在寻找一个家外之家，那么整个地方都是最好的。拥有一个完整的地方，您将拥有整个空间。这通常包括卧室、浴室、厨房和单独的专用入口。房东应在描述中注明他们是否会入住该物业（例如：“房东占据房屋的一楼”），并提供有关房源的更多详细信息。私人房间 如果您喜欢一点隐私，但仍然重视本地连接，私人房间非常棒。当您预订私人房间时，您将拥有自己的私人睡眠房间，并可能与他人共享一些空间。您可能需要穿过其他主人或客人可能占据的室内空间才能到达您的房间。酒店客房 无论是私人客房还是共用客房，酒店客房都提供与传统酒店相关的服务和热情好客水平。客房可在精品或生活方式酒店、旅馆、住宿加早餐旅馆或类似物业中使用。它们通常包括充满活力的公共区域和具有独特风格的房间。共享房间 共享房间适用于您不介意与他人共享空间的情况。当您预订共享房间时，您将睡在与他人共享的空间中，并与其他人共享整个空间。共享房间在寻找新朋友和预算友好型住宿的灵活旅行者中很受欢迎。
